File,Câu hỏi user,Trả lời được phép nói với user,Ghi chú nội bộ (không nói user),Hướng xử lý / Escalation,Nguồn,Kiểm chứng & độ tin cậy
02-nap-the-giao-dich.md,"Tôi đã nạp nhưng không nhận được kim cương/vật phẩm, phải làm sao?","Bạn đừng nạp lại ngay. Hãy kiểm tra: 1. Đã chọn đúng server và đúng nhân vật khi nạp chưa. 2. Tài khoản ngân hàng/ví đã trừ tiền hay chưa. 3. Thử thoát và đăng nhập lại game (đôi khi cộng chậm). Nếu đã trừ tiền mà sau một lúc vẫn chưa nhận, vui lòng cung cấp mã giao dịch, thời điểm nạp, mệnh giá, tên nhân vật và server để được hỗ trợ qua support.vnggames.com hoặc Hotline 1900 561 558.","- Nguyên nhân phổ biến: chọn sai nhân vật/server, độ trễ cộng, giao dịch pending/failed ở phía thanh toán. - KHÔNG hứa hoàn tiền/đền bù — việc xử lý do VNG quyết định sau khi đối soát giao dịch.","- Chuyển cấp: đã trừ tiền nhưng chưa nhận sau khi kiểm tra cơ bản → support.vnggames.com. Thu thập bắt buộc: mã giao dịch / mã hóa đơn, ảnh chụp biên lai trừ tiền, thời điểm, mệnh giá, phương thức, tên nhân vật, server.",Hỗ trợ VNGGames (https://support.vnggames.com) · Cổng nạp VNG (https://pay.zing.vn),2026-06-13 · Độ tin cậy: ⚠️ tùy chính sách (quy trình đối soát/đền bù không công bố chi tiết)
02-nap-the-giao-dich.md,Làm sao tránh bị lừa đảo khi nạp thẻ?,"- Chỉ nạp qua cổng chính thức của VNG (pay.zing.vn / napthe.vn) hoặc nạp in-app qua Google Play/App Store. - Không nạp qua web lạ hứa ""khuyến mãi x2, x3"", không cung cấp mật khẩu/OTP cho bất kỳ ai. - VNG không bao giờ yêu cầu bạn chuyển khoản riêng cho cá nhân để nhận quà/nạp.",- Có nhiều web giả mạo lợi dụng nhu cầu nạp để lừa đảo/đánh cắp tài khoản → luôn nhắc user dùng kênh chính thức.,- CS tự trả lời được: có. - Nếu user đã bị lừa/lộ thông tin → hướng đổi mật khẩu ngay + báo support.vnggames.com.,Cổng nạp VNG (https://pay.zing.vn) · napthe.vn (https://napthe.vn),2026-06-13 · Độ tin cậy: ✅ chắc chắn (nguyên tắc an toàn chung)
03-loi-ky-thuat.md,"Tôi không vào được game / không đăng nhập được, phải làm sao?","Bạn thử lần lượt các bước sau: 1. Kiểm tra kết nối mạng (đổi giữa Wi‑Fi và 4G/5G để thử). 2. Tắt hẳn game và mở lại; khởi động lại thiết bị nếu cần. 3. Đảm bảo game đã cập nhật phiên bản mới nhất trên Google Play/App Store. 4. Còn đủ bộ nhớ trống (game khá nặng). 5. Kiểm tra xem có thông báo bảo trì trên fanpage chính thức không. Nếu vẫn lỗi, vui lòng cho biết dòng máy, hệ điều hành và ảnh chụp màn hình lỗi để được hỗ trợ.","- Nguyên nhân thường gặp: mạng kém/wifi, game chưa cập nhật, đang bảo trì máy chủ, thiết bị thiếu bộ nhớ, hoặc lỗi từ phía nhà phát hành (server). - Luôn loại trừ ""đang bảo trì"" trước khi đẩy thành sự cố cá nhân — kiểm tra fanpage.","- CS tự trả lời được: có (các bước cơ bản). - Chuyển cấp: lỗi kéo dài sau khi đã thử hết bước cơ bản, hoặc nghi lỗi server diện rộng → support.vnggames.com. Thu thập: dòng máy, HĐH + phiên bản, phiên bản game, mô tả lỗi + thời điểm, ảnh/clip màn hình.",Hỗ trợ VNGGames (https://support.vnggames.com) · Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/),2026-06-13 · Độ tin cậy: ✅ chắc chắn (bước xử lý chung)
03-loi-ky-thuat.md,Làm sao biết game có đang bảo trì không?,"Thông báo bảo trì/cập nhật được đăng trên fanpage Facebook chính thức (facebook.com/zingspeedmobile.vng) và trang chủ. Trong thời gian bảo trì, bạn vui lòng chờ đến khi có thông báo hoàn tất.",- Fanpage là nơi cập nhật nhanh nhất về bảo trì khẩn/định kỳ → kiểm tra đầu tiên khi có nhiều user cùng báo lỗi vào game.,- CS tự trả lời được: có.,Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/) · Trang chủ (https://zingspeedm.vnggames.com),2026-06-13 · Độ tin cậy: ✅ chắc chắn
03-loi-ky-thuat.md,Tôi tải/cập nhật game bị lỗi hoặc rất chậm?,Game có dung lượng lớn (vài GB) nên bạn cần Wi‑Fi ổn định và đủ bộ nhớ trống. Thử: 1. Dùng Wi‑Fi thay vì mạng di động. 2. Giải phóng bộ nhớ máy. 3. Tải/cập nhật lại từ Google Play/App Store (không tải file APK từ web lạ).,- Dung lượng iOS ~3.7 GB; Android cũng lớn → user thiếu dung lượng là nguyên nhân hay gặp. - Tải APK ngoài store có rủi ro bảo mật → luôn hướng user về store chính thức.,- CS tự trả lời được: có.,App Store VN (https://apps.apple.com/vn/app/id1435297178) · Google Play (https://play.google.com/store/apps/details?id=com.vng.speedvn),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản (dung lượng đổi theo bản cập nhật)
03-loi-ky-thuat.md,"Tôi đang ở nước ngoài, có chơi được không?",Có hướng dẫn cài đặt và chơi ZingSpeed Mobile khi ở nước ngoài trên trang chủ chính thức. Bạn có thể tham khảo bài hướng dẫn để cài đặt đúng cách.,"- Tồn tại bài ""Hướng dẫn cài đặt ZingSpeed Mobile tại nước ngoài"" trên trang chủ → dẫn user tới đó thay vì tự chế bước. - Không tư vấn lách khu vực/store nước ngoài ngoài hướng dẫn chính thức.",- CS tự trả lời được: có (dẫn về bài hướng dẫn chính thức).,Hướng dẫn cài đặt ở nước ngoài (https://zingspeedm.vnggames.com/bai-viet/gioi-thieu/huong-dan-cai-dat-zingspeed-mobile-tai-nuoc-ngoai.html),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản (nội dung bài hướng dẫn có thể cập nhật)
04-gameplay-co-ban.md,ZingSpeed Mobile có những chế độ chơi nào?,"Các chế độ chính: - Đua tốc độ (Speed Race): đua xếp hạng, ai về đích trước thắng. - Đua đạo cụ (Item Race): dùng vật phẩm để cản/đánh đối thủ. - Đua đồng đội (Team Race): lập đội phối hợp giành chiến thắng. - Chế độ trang viên/không gian riêng (Manor): xây dựng, trang trí, giao lưu kết bạn.","- Theo mô tả store: Speed Racing, Item Racing, Team Racing, Manor Mode + tính năng xã hội (kết bạn, hẹn hò ảo). - Có thể có thêm chế độ/sự kiện theo mùa → không liệt kê cứng toàn bộ.",- CS tự trả lời được: có.,App Store VN (https://apps.apple.com/vn/app/id1435297178) · Google Play (https://play.google.com/store/apps/details?id=com.vng.speedvn),2026-06-13 · Độ tin cậy: ✅ chắc chắn (các chế độ lõi)
04-gameplay-co-ban.md,"Cơ chế đua (drift, nitro) hoạt động thế nào?","Game có cơ chế drift (bo cua/trượt nước) để tích năng lượng, rồi dùng nitro (tăng tốc) để bứt phá. Kỹ năng bo cua và canh tăng tốc đúng lúc là yếu tố quyết định tốc độ.","- Đây là mô tả cơ chế chung của dòng game (drift để nạp nitro). KHÔNG khẳng định con số cụ thể (lượng nitro, hệ số tốc độ) vì không có nguồn công khai. - Nếu user hỏi mẹo kỹ thuật sâu → hướng tới nội dung hướng dẫn trên kênh chính thức (YouTube/fanpage).",- CS tự trả lời được: có (mức cơ bản).,App Store VN (https://apps.apple.com/vn/app/id1435297178),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản (chi tiết số liệu không công bố)
04-gameplay-co-ban.md,Game có những loại xe / thời trang / bản đồ gì?,"Game có nhiều xe theo hạng (từ hạng phổ thông đến xe đặc biệt theo chủ đề), nhiều bộ thời trang/nhân vật, và nhiều bản đồ đua với bối cảnh đa dạng (thành phố, sa mạc, tuyết, bãi biển…). Danh sách cụ thể được cập nhật liên tục theo phiên bản và sự kiện — bạn có thể xem trên trang chủ và fanpage chính thức.","- Trang chủ liệt kê xe (phân hạng), thời trang theo chủ đề, và các bản đồ. Danh mục đổi liên tục → KHÔNG cam kết danh sách cứng. - KHÔNG nói về tỷ lệ rớt xe/đồ trong rương/gacha (không công bố công khai).",- CS tự trả lời được: có (mô tả khái quát + dẫn nguồn). Chi tiết một xe/sự kiện cụ thể → dẫn user xem trang chủ/fanpage.,Trang chủ (https://zingspeedm.vnggames.com) · Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản–sự kiện
05-su-kien-qua-tang.md,Hiện đang có sự kiện gì? Sự kiện X còn diễn ra không?,"Thông tin sự kiện đang diễn ra (thời gian, thể lệ, phần thưởng) được cập nhật trên fanpage Facebook chính thức (facebook.com/zingspeedmobile.vng) và trang chủ. Bạn vui lòng kiểm tra ở đó để có thông tin mới và chính xác nhất.",- CS PHẢI tra fanpage/trang chủ tại thời điểm trả lời — KHÔNG trả lời theo trí nhớ hay tài liệu cũ về một sự kiện cụ thể. - Mỗi sự kiện có mốc thời gian riêng; thông tin lỗi thời dễ gây khiếu nại.,- CS tự trả lời được: có (dẫn user tới nguồn chính thức + tóm tắt sự kiện đang chạy nếu đã tự tra).,Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/) · Trang chủ (https://zingspeedm.vnggames.com),2026-06-13 · Độ tin cậy: ⚠️ tùy sự kiện (phải tra mới mỗi lần)
05-su-kien-qua-tang.md,Giftcode mới nhất là gì? Nhập giftcode ở đâu?,Giftcode chính thức được phát qua fanpage Facebook và các sự kiện chính thức của game. Bạn chỉ nên dùng giftcode từ kênh chính thức; nhập theo hướng dẫn kèm theo từng đợt phát code. Code có thể có hạn sử dụng và giới hạn lượt.,"- KHÔNG bịa giftcode. Chỉ dẫn user về kênh chính thức. - Vị trí nhập code và điều kiện thay đổi theo phiên bản/đợt → đối chiếu hướng dẫn kèm code. - Cảnh báo user tránh ""giftcode"" từ web/nhóm lạ (rủi ro lừa đảo).","- CS tự trả lời được: có. - Chuyển cấp: code chính thức báo lỗi/không nhận được quà → support.vnggames.com. Thu thập: code đã nhập, tên nhân vật, server, thời điểm, ảnh lỗi.",Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/),2026-06-13 · Độ tin cậy: ⚠️ tùy sự kiện
05-su-kien-qua-tang.md,Tôi tham gia sự kiện nhưng chưa nhận được quà?,"Bạn vui lòng kiểm tra lại điều kiện và thời hạn của sự kiện (một số quà trả sau hoặc cần thao tác nhận). Nếu đã đủ điều kiện mà vẫn chưa nhận, hãy cung cấp tên sự kiện, tên nhân vật, server, thời điểm tham gia và ảnh chụp để được hỗ trợ qua support.vnggames.com.","- Nguyên nhân hay gặp: chưa đủ điều kiện, quà phát theo đợt/độ trễ, sự kiện đã kết thúc, nhầm mốc thời gian. - KHÔNG hứa đền quà — do VNG đối soát quyết định.",- Chuyển cấp: đủ điều kiện nhưng không nhận → support.vnggames.com với đủ thông tin chứng minh tham gia.,Hỗ trợ VNGGames (https://support.vnggames.com) · Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/),2026-06-13 · Độ tin cậy: ⚠️ tùy sự kiện
06-vi-pham-xu-ly.md,Dùng phần mềm thứ ba / hack thì bị xử lý thế nào?,"Game nghiêm cấm dùng phần mềm/chương trình thứ ba can thiệp vào game. Theo thông cáo công khai của nhà phát hành, hành vi gian lận sẽ bị khóa tài khoản (có thể tới mức khóa vĩnh viễn) và điều chỉnh thứ hạng/phần thưởng nếu vi phạm trong giải đấu. Nhà phát hành cam kết giữ môi trường chơi công bằng, lành mạnh.","- Theo thông cáo công khai (đợt 2019, đã qua hơn 20 đợt xử lý): dùng phần mềm thứ ba ảnh hưởng kết quả trận → khóa vĩnh viễn (ghi 3.650 ngày ≈ 10 năm); một số trường hợp lần đầu (chạy phần mềm nền) bị tạm khóa 15 ngày, tái phạm khóa vĩnh viễn. - ⚠️ Đây là mốc theo thông cáo cũ → KHÔNG cam kết con số ngày là hiện hành. Nói khái quát ""có thể tới khóa vĩnh viễn"" an toàn hơn. - KHÔNG tiết lộ cách phát hiện gian lận (nội bộ).",- CS tự trả lời được: có (mức nguyên tắc). - Chuyển cấp: user khiếu nại bị khóa oan → support.vnggames.com (xem mục khiếu nại bên dưới).,Thông cáo xử lý tài khoản vi phạm (https://zingspeedm.vnggames.com/su-kien/thong-cao-ve-viec-x-ly-cac-tai-khoan-vi-pham/thong-cao-ve-hinh-th-c-x-ly-cac-tai-khoan-vi-pham.html) · Tiêu chuẩn cộng đồng (https://policies.vnggames.com),2026-06-13 · Độ tin cậy: ⚠️ tùy chính sách (thông cáo có thể đã cập nhật)
06-vi-pham-xu-ly.md,Tôi muốn báo cáo người chơi gian lận thì làm thế nào?,Bạn có thể báo cáo qua: - Nút báo cáo trong game sau khi kết thúc trận. - Fanpage Facebook chính thức hoặc support.vnggames.com. Nhà phát hành sẽ xem xét báo cáo (theo thông cáo công khai là trong khoảng 24–48 giờ làm việc).,"- Kênh báo cáo: in-game report, fanpage, support. Thời gian 24–48h là theo thông cáo công khai (không tính cuối tuần) → nêu như tham khảo, không cam kết cứng. - Khuyến khích user gửi kèm bằng chứng (clip/ảnh) để dễ xử lý.",- CS tự trả lời được: có.,Thông cáo xử lý tài khoản vi phạm (https://zingspeedm.vnggames.com/su-kien/thong-cao-ve-viec-x-ly-cac-tai-khoan-vi-pham/thong-cao-ve-hinh-th-c-x-ly-cac-tai-khoan-vi-pham.html),2026-06-13 · Độ tin cậy: ⚠️ tùy chính sách
06-vi-pham-xu-ly.md,"Tài khoản của tôi bị khóa, tôi muốn khiếu nại?","Bạn vui lòng gửi khiếu nại qua kênh hỗ trợ chính thức support.vnggames.com (hoặc Hotline 1900 561 558), kèm tên tài khoản/nhân vật, server, thời điểm bị khóa và nội dung thông báo khóa (nếu có). Bộ phận chức năng sẽ kiểm tra và phản hồi.",- KHÔNG khẳng định sẽ mở khóa — quyết định thuộc về bộ phận xử lý của VNG sau khi rà soát. - KHÔNG tiết lộ tiêu chí/bằng chứng xử lý nội bộ.,"- Chuyển cấp: mọi khiếu nại khóa tài khoản → support.vnggames.com. Thu thập: loại tài khoản, tên nhân vật, server, thời điểm, ảnh thông báo khóa, mô tả tình huống.",Hỗ trợ VNGGames (https://support.vnggames.com) · Tiêu chuẩn cộng đồng (https://policies.vnggames.com),2026-06-13 · Độ tin cậy: ⚠️ tùy chính sách (quy trình khiếu nại do VNG quyết định)
07-kenh-ho-tro-escalation.md,Kênh hỗ trợ chính thức,,- Đây là các kênh chính thức để dẫn user và để escalation. Không đưa user sang kênh/cá nhân không chính thức.,,Hỗ trợ VNGGames (https://support.vnggames.com) · Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/) · Điều khoản (https://policies.vnggames.com),2026-06-13 · Độ tin cậy: ✅ chắc chắn
07-kenh-ho-tro-escalation.md,"Khi nào CS tự trả lời, khi nào chuyển cấp?",,,,,
07-kenh-ho-tro-escalation.md,Thông tin cần thu thập trước khi chuyển cấp,,,,tổng hợp từ Hỗ trợ VNGGames (https://support.vnggames.com) (kênh chính thức) + nguyên tắc CS nội bộ.,2026-06-13 · Độ tin cậy: ✅ chắc chắn (quy ước thu thập thông tin)
